CustomerID,TotalRevenue,TotalPurchases,TotalQuantity,UniqueProducts,Country,AverageOrderValue,Recency,Frequency,Monetary,Cluster
C10001,22885.809999999998,3,63,8,India,7628.603333333333,117,3,22885.809999999998,1
C10003,12061.04,1,10,3,United Kingdom,12061.04,33,1,12061.04,0
C10004,10579.97,2,16,5,United Kingdom,5289.985,40,2,10579.97,0
C10005,14154.57,2,17,7,Germany,7077.285,297,2,14154.57,2
C10006,27389.290000000005,3,27,8,India,9129.763333333334,31,3,27389.290000000005,1
C10007,18247.42,4,28,8,Netherlands,4561.855,74,4,18247.42,1
C10008,15488.699999999999,3,29,7,United Kingdom,5162.9,8,3,15488.699999999999,0
C10009,9138.4,2,13,6,United Kingdom,4569.2,192,2,9138.4,2
C10010,8610.83,2,19,3,United Kingdom,4305.415,110,2,8610.83,0
C10011,706.78,1,1,1,United Kingdom,706.78,101,1,706.78,0
C10012,9485.27,1,14,6,United Kingdom,9485.27,224,1,9485.27,2
C10014,44386.66,2,68,12,United Kingdom,22193.33,76,2,44386.66,1
C10015,27418.48,3,32,10,India,9139.493333333334,24,3,27418.48,1
C10016,6347.87,2,4,3,United Kingdom,3173.935,152,2,6347.87,2
C10017,2901.65,1,7,3,United Kingdom,2901.65,19,1,2901.65,0
C10018,8604.92,1,5,2,India,8604.92,92,1,8604.92,0
C10021,15502.15,2,18,6,France,7751.075,131,2,15502.15,0
C10023,16624.32,3,41,9,United Kingdom,5541.44,212,3,16624.32,2
C10025,15472.8,3,14,6,Australia,5157.599999999999,136,3,15472.8,0
C10027,38387.14,2,26,3,United Kingdom,19193.57,58,2,38387.14,1
C10028,21765.78,5,27,11,United Kingdom,4353.156,4,5,21765.78,1
C10029,3399.69,1,13,2,EIRE,3399.69,161,1,3399.69,2
C10030,5671.55,1,13,5,India,5671.55,248,1,5671.55,2
C10031,35387.29,1,32,4,France,35387.29,285,1,35387.29,2
C10032,21031.96,2,39,6,Germany,10515.98,61,2,21031.96,0
C10033,3152.19,1,3,3,United Kingdom,3152.19,16,1,3152.19,0
C10035,11499.62,2,22,4,United Kingdom,5749.81,226,2,11499.62,2
C10036,14067.069999999998,1,18,4,United Kingdom,14067.069999999998,303,1,14067.069999999998,2
C10038,3600.58,1,2,1,India,3600.58,40,1,3600.58,0
C10039,10287.849999999999,2,19,6,Netherlands,5143.924999999999,30,2,10287.849999999999,0
C10041,10991.81,2,20,7,India,5495.905,57,2,10991.81,0
C10042,6080.18,3,9,5,United Kingdom,2026.7266666666667,171,3,6080.18,2
C10043,9670.71,2,12,7,United Kingdom,4835.355,185,2,9670.71,2
C10044,11581.619999999999,2,13,6,United Kingdom,5790.8099999999995,218,2,11581.619999999999,2
C10045,11177.9,3,20,7,United Kingdom,3725.9666666666667,184,3,11177.9,2
C10046,33107.76,4,46,9,United Kingdom,8276.94,273,4,33107.76,1
C10047,9296.14,2,14,4,United Kingdom,4648.07,192,2,9296.14,2
C10048,24667.88,1,31,5,United Kingdom,24667.88,303,1,24667.88,2
C10049,13512.23,1,9,3,India,13512.23,286,1,13512.23,2
C10050,4796.66,2,7,3,United Kingdom,2398.33,273,2,4796.66,2
C10051,7838.55,1,12,5,United Kingdom,7838.55,20,1,7838.55,0
C10054,6096.74,1,7,3,Portugal,6096.74,196,1,6096.74,2
C10055,3144.7200000000003,1,7,2,India,3144.7200000000003,263,1,3144.7200000000003,2
C10056,4359.58,2,11,4,India,2179.79,167,2,4359.58,2
C10057,1581.78,1,3,1,United Kingdom,1581.78,11,1,1581.78,0
C10058,3577.16,1,2,1,Germany,3577.16,282,1,3577.16,2
C10059,13689.19,2,14,4,United Kingdom,6844.595,105,2,13689.19,0
C10060,13548.21,1,18,8,United Kingdom,13548.21,249,1,13548.21,2
C10061,7213.26,1,6,2,Canada,7213.26,270,1,7213.26,2
C10062,32858.71,4,59,10,India,8214.6775,69,4,32858.71,1
C10063,27891.769999999997,3,40,10,United Kingdom,9297.256666666666,182,3,27891.769999999997,1
C10064,35659.37,3,43,11,India,11886.456666666667,136,3,35659.37,1
C10066,30582.429999999997,2,16,4,France,15291.214999999998,11,2,30582.429999999997,1
C10067,7914.46,1,13,2,United Kingdom,7914.46,162,1,7914.46,2
C10068,8119.380000000001,1,6,2,United Kingdom,8119.380000000001,14,1,8119.380000000001,0
C10070,9674.630000000001,2,14,5,United Kingdom,4837.3150000000005,62,2,9674.630000000001,0
C10071,6065.3,1,7,2,United Kingdom,6065.3,74,1,6065.3,0
C10072,3264.27,1,5,2,Portugal,3264.27,96,1,3264.27,0
C10073,2645.6,1,4,1,Netherlands,2645.6,328,1,2645.6,2
C10074,4900.28,3,10,4,United Kingdom,1633.4266666666665,3,3,4900.28,0
C10075,7622.620000000001,1,13,3,India,7622.620000000001,319,1,7622.620000000001,2
C10076,9834.92,1,12,3,United Kingdom,9834.92,112,1,9834.92,0
C10077,17236.48,3,11,5,Spain,5745.493333333333,52,3,17236.48,1
C10080,13147.76,3,17,6,United Kingdom,4382.586666666667,43,3,13147.76,0
C10081,11131.09,1,21,4,United Kingdom,11131.09,128,1,11131.09,0
C10082,3934.63,1,5,2,United Kingdom,3934.63,142,1,3934.63,2
C10083,11108.77,2,14,5,India,5554.385,130,2,11108.77,0
C10084,11986.84,3,17,6,Netherlands,3995.6133333333332,30,3,11986.84,0
C10086,5303.469999999999,2,7,3,United Kingdom,2651.7349999999997,17,2,5303.469999999999,0
C10087,10036.68,2,12,6,Singapore,5018.34,8,2,10036.68,0
C10088,9070.11,2,56,4,United Kingdom,4535.055,213,2,9070.11,2
C10089,12381.25,1,17,8,United Kingdom,12381.25,298,1,12381.25,2
C10091,43040.799999999996,4,73,12,United Kingdom,10760.199999999999,25,4,43040.799999999996,1
C10092,2932.17,1,4,2,India,2932.17,27,1,2932.17,0
C10093,30079.25,2,34,10,France,15039.625,130,2,30079.25,1
C10094,23375.72,2,41,9,United Kingdom,11687.86,223,2,23375.72,2
C10095,3142.05,2,5,3,United Kingdom,1571.025,37,2,3142.05,0
C10097,8524.800000000001,1,6,2,Singapore,8524.800000000001,147,1,8524.800000000001,2
C10098,1749.6399999999999,2,4,3,United Kingdom,874.8199999999999,126,2,1749.6399999999999,0
C10099,2812.42,2,5,4,Canada,1406.21,165,2,2812.42,2
C10100,29454.91,3,37,10,Netherlands,9818.303333333333,104,3,29454.91,1
C10101,23502.25,4,31,9,United Kingdom,5875.5625,31,4,23502.25,1
C10102,4117.53,1,3,1,Germany,4117.53,104,1,4117.53,0
C10103,9298.1,2,18,6,India,4649.05,28,2,9298.1,0
C10104,8238.29,3,16,5,United Kingdom,2746.096666666667,116,3,8238.29,0
C10105,10112.64,1,12,3,United Kingdom,10112.64,33,1,10112.64,0
C10106,1815.4,2,4,4,India,907.7,64,2,1815.4,0
C10107,5160.4,1,7,4,United Kingdom,5160.4,103,1,5160.4,0
C10108,2520.6800000000003,1,5,3,United Kingdom,2520.6800000000003,233,1,2520.6800000000003,2
C10109,10504.189999999999,1,11,5,United Kingdom,10504.189999999999,19,1,10504.189999999999,0
C10110,17646.0,2,22,4,Australia,8823.0,13,2,17646.0,0
C10111,13408.47,4,19,8,Netherlands,3352.1175,36,4,13408.47,1
C10112,20702.33,3,35,9,United Kingdom,6900.776666666668,131,3,20702.33,1
C10113,998.1,1,2,1,United Kingdom,998.1,325,1,998.1,2
C10114,9292.01,1,9,4,United Kingdom,9292.01,39,1,9292.01,0
C10115,2370.12,1,4,1,Spain,2370.12,119,1,2370.12,0
C10116,31381.94,6,42,10,Netherlands,5230.323333333333,1,6,31381.94,1
C10117,10224.93,2,5,1,United Kingdom,5112.465,255,2,10224.93,2
C10118,10000.71,1,6,2,India,10000.71,161,1,10000.71,2
C10119,4477.6,2,5,5,India,2238.8,178,2,4477.6,2
C10120,19286.25,4,24,7,United Kingdom,4821.5625,54,4,19286.25,1
C10121,17973.41,3,39,12,Germany,5991.136666666666,96,3,17973.41,1
C10122,12865.42,3,16,7,United Kingdom,4288.473333333333,22,3,12865.42,0
C10123,3227.35,1,11,3,France,3227.35,190,1,3227.35,2
C10124,5132.26,1,6,2,United Kingdom,5132.26,117,1,5132.26,0
C10125,3249.64,2,5,2,United Kingdom,1624.82,205,2,3249.64,2
C10126,29888.760000000002,4,38,11,United Kingdom,7472.1900000000005,60,4,29888.760000000002,1
C10127,15971.04,2,12,4,United Kingdom,7985.52,115,2,15971.04,0
C10129,12169.75,1,16,6,Netherlands,12169.75,60,1,12169.75,0
C10131,1281.88,1,2,1,United Kingdom,1281.88,82,1,1281.88,0
C10132,16386.59,2,31,7,United Kingdom,8193.295,175,2,16386.59,2
C10133,11096.04,2,25,5,Netherlands,5548.02,6,2,11096.04,0
C10134,14197.31,3,23,7,Portugal,4732.4366666666665,98,3,14197.31,0
C10135,33505.61,3,37,9,United Kingdom,11168.536666666667,27,3,33505.61,1
C10137,4436.31,1,6,3,United Kingdom,4436.31,243,1,4436.31,2
C10138,13301.57,2,17,3,Germany,6650.785,284,2,13301.57,2
C10140,3616.59,2,9,4,United Kingdom,1808.295,16,2,3616.59,0
C10141,11011.18,1,20,5,United Kingdom,11011.18,2,1,11011.18,0
C10142,15645.970000000001,1,23,6,United Kingdom,15645.970000000001,254,1,15645.970000000001,2
